Name;FMISID;LPNN;WMO;Lat;Lon;Elevation;Groups;Started
Rovaniemi Vennivaara;101927;7408;2846;66.55;25.57;191;mast;1991
Rovaniemi airport;101920;7401;2845;66.56;25.84;189;weather;1951
Rovaniemi airport AWOS;137190;;;66.57;25.85;187;weather;1999
Rovaniemi railway station;101928;7409;2847;66.5;25.71;85;weather;1997
Ruokolahti Kotaniemi;101248;1712;;61.37;28.68;97;precipitation;1998
Rääkkylä parish;101450;2810;;62.31;29.63;97;precipitation;1971
Salla Kelloselkä;101956;7706;;66.94;28.98;200;precipitation;1949
Salla Naruska;101966;7804;2745;67.16;29.18;213;weather;1999
Salla Värriötunturi;102012;8803;2819;67.75;29.61;360;weather, precipitation;1971
Salla parish;101959;7709;2849;66.82;28.69;218;weather;1999
Salo Kiikala airfield;100967;217;2777;60.46;23.65;117;weather;2002
Salo Kärkkä;100955;205;2756;60.37;23.11;2;weather;1936
Savonlinna Haapasalmi;106418;;;61.87;28.89;79;air quality (urban);2016
Savonlinna Laukansaari;101423;2702;;61.8;28.85;94;precipitation;1942
Savonlinna Olavinkatu;104045;;;61.87;28.88;79;air quality (urban);2004
Savonlinna Punkaharju Laukansaari;101441;2801;2778;61.8;29.32;79;weather;1904
Savonlinna Savonranta;101448;2808;;62.17;29.28;90;precipitation;1908
Savonlinna airport;101430;2710;2948;61.95;28.93;92;weather;1974
Savukoski parish;101952;7702;2815;67.29;28.18;180;weather, precipitation;1963
Seinäjoki Pelmaa;101486;3101;2833;62.94;22.49;26;weather;1927
Seinäjoki Vapaudentie 6a;103110;;;62.78;22.84;51;air quality (urban);2011
Sea of Bothnia wavebuoy;134246;;;61.8;20.23;0;buoy;2011
Siikajoki Ruukki;101787;5402;2803;64.68;25.09;48;weather;1904
Siikalatva Kestilä;101717;4509;;64.36;26.3;89;precipitation;1908
Siilinjärvi Kuopio airport;101570;3601;2917;63;27.81;94;weather;1945
Siilinjärvi Kuuslahti;107026;;;63.13;27.77;103;air quality (urban);2018
Siilinjärvi Murtomäki;106629;;;63.14;27.7;123;air quality (urban);2017
Siilinjärvi Musti;105425;;;63.2;27.74;140;air quality (urban);2019
Siilinjärvi Pahkamäki;104099;;;63.18;27.77;143;air quality (urban);2015
Siilinjärvi Sorakuja;104017;;;63.07;27.66;129;air quality (urban);2002
Siilinjärvi Vuorelantie;107135;;;62.98;27.7;85;air quality (urban);2019
Sipoo Eestiluoto;101029;423;2930;60.12;25.22;13;weather;2008
Sipoo Itätoukki;105392;425;;60.1;25.19;5;weather;2017
